country_code,region_name,iata,airport
AU,New South Wales,GLI,Glen Innes Airport
AU,New South Wales,GOS,Somersby Airfield
AU,New South Wales,GUH,Gunnedah Airport
AU,New South Wales,GUL,Goulburn Airport
AU,New South Wales,HXX,Hay Airport
AU,New South Wales,IVR,Inverell Airport
AU,New South Wales,KPS,Kempsey Airport
AU,New South Wales,LBH,Palm Beach Water Airport
AU,New South Wales,LDH,Lord Howe Island Airport
AU,New South Wales,LHG,Lightning Ridge Airport
AU,New South Wales,LSY,Lismore Airport
AU,New South Wales,MIM,Merimbula Airport
AU,New South Wales,MRZ,Moree Airport
AU,New South Wales,MTL,Maitland Airport
AU,New South Wales,MVH,Macksville Airport
AU,New South Wales,MYA,Moruya Airport
AU,New South Wales,NAA,Narrabri Airport
AU,New South Wales,NBH,Nambucca Heads Airport
AU,New South Wales,NGA,Young Airport
AU,New South Wales,NOA,NAS Nowra
AU,New South Wales,NRA,Narrandera Airport
AU,New South Wales,NSO,Scone Airport
AU,New South Wales,NTL,Newcastle Airport / RAAF Base Williamtown
AU,New South Wales,NYN,Nyngan Airport
AU,New South Wales,OAG,Orange Airport
AU,New South Wales,OOM,Cooma-Snowy Mountains Airport
AU,New South Wales,PKE,Parkes Airport
AU,New South Wales,PQQ,Port Macquarie Airport
AU,New South Wales,RSE,Rose Bay Water Airport
AU,New South Wales,SIX,Singleton Airport
AU,New South Wales,SYD,Sydney Airport (Kingsford Smith Airport)
AU,New South Wales,TCW,Tocumwal Airport
AU,New South Wales,TEM,Temora Airport
AU,New South Wales,TMW,Tamworth Regional Airport
AU,New South Wales,TRO,Taree Airport
AU,New South Wales,TUM,Tumut Airport
AU,New South Wales,TYB,Tibooburra Airport
AU,New South Wales,UIR,Quirindi Airport
AU,New South Wales,WAU,Wauchope Airport
AU,New South Wales,WEW,Wee Waa Airport
AU,New South Wales,WGA,Wagga Wagga Airport
AU,New South Wales,WGE,Walgett Airport
AU,New South Wales,WIO,Wilcannia Airport
AU,New South Wales,WLC,Walcha Airport
AU,New South Wales,WOL,Illawarra Regional Airport
AU,New South Wales,WWY,West Wyalong Airport
AU,New South Wales,XRH,RAAF Base Richmond
AU,Northern Territory,AMX,Ammaroo Airport
AU,Northern Territory,ANZ,Angus Downs Airport
AU,Northern Territory,ASP,Alice Springs Airport
AU,Northern Territory,AVG,Auvergne Airport
AU,Northern Territory,AWP,Austral Downs Airport
AU,Northern Territory,AXL,Alexandria Homestead Airport
AU,Northern Territory,AYD,Alroy Downs Airport
AU,Northern Territory,AYL,Anthony Lagoon Airport
AU,Northern Territory,AYQ,Ayers Rock Airport
AU,Northern Territory,BCZ,Bickerton Island Airport
AU,Northern Territory,BOX,Borroloola Airport
AU,Northern Territory,BRT,Bathurst Island Airport
AU,Northern Territory,BTD,Brunette Downs Airport
AU,Northern Territory,BYX,Baniyala Airport
AU,Northern Territory,CDA,Cooinda Airport
AU,Northern Territory,CFI,Camfield Airport
AU,Northern Territory,CKI,Croker Island Airport
AU,Northern Territory,COB,Coolibah Airport
AU,Northern Territory,CSD,Cresswell Downs Airport
AU,Northern Territory,CTR,Cattle Creek Airport
AU,Northern Territory,DKV,Docker River Airport
AU,Northern Territory,DLV,Delissaville Airport
AU,Northern Territory,DRW,Darwin International Airport
AU,Northern Territory,DVR,Daly River Airport
AU,Northern Territory,DYW,Daly Waters Airport
AU,Northern Territory,EDD,Erldunda Airport
AU,Northern Territory,EKD,Elkedra Airport
AU,Northern Territory,ELC,Elcho Island Airport
AU,Northern Territory,EVD,Eva Downs Airport
AU,Northern Territory,FIK,Finke Airport
AU,Northern Territory,GBL,South Goulburn Island Airport
AU,Northern Territory,GOV,Gove Airport
